商圈分组,品类,总SKU数,最小SKU,最大SKU,当前范围,推荐范围
交通枢纽,数码电器,48,1,38,0-34,0-21
工业区,粮油,103,1,68,0-67,0-47
其他,烘焙糕点,103,9,95,0-95,0-76
科教区,常温乳制品,86,19,57,19-55,18-52
娱乐区,酒类,197,5,158,0-143,0-90
文教区,数码电器,48,2,44,0-44,0-30
工业区,冲调品,71,1,57,0-57,0-33
交通枢纽,生鲜&水果,4,1,4,0-4,0-2
住宅区,生活用纸,59,1,50,0-47,0-39
交通枢纽,家庭护理,111,1,70,0-63,0-41
办公区,冷冻食品,53,1,26,0-25,0-16
商业区,啤酒／预调酒,122,10,108,0-108,0-96
文教区,休闲肉脯,121,5,109,0-106,0-82
医院区,数码电器,48,1,38,0-35,0-23
医院区,饼干,159,10,127,0-123,0-89
办公区,膨化食品,89,8,88,0-88,0-69
交通枢纽,休闲肉脯,121,13,102,0-99,0-72
其他,餐厨用品,52,1,38,0-37,0-21
医院区,个人护理,193,11,101,0-97,0-66
工业区,休闲素食,92,6,92,0-92,0-74
住宅区,槟榔,34,5,34,0-34,0-34
娱乐区,口腔护理,78,1,57,0-54,0-38
住宅区,糖果&巧克力,282,3,257,0-253,0-208
娱乐区,碳酸饮料,103,5,81,0-77,0-76
医院区,休闲肉脯,121,1,93,0-85,0-62
住宅区,调味副食,229,2,219,0-216,0-164
科教区,果汁,61,17,48,17-45,16-42
市场区,个人护理,198,1,144,0-140,0-91
商业区,方便食品,170,2,151,0-145,0-131
商业区,冷冻食品,53,1,25,0-24,0-19
市场区,文具用品,113,1,72,0-58,0-45
科教区,茶饮品,84,37,80,37-80,23-78
交通枢纽,其它饮品,32,4,31,0-31,0-28
工业区,功能饮料,112,25,102,0-101,0-93
商业区,功能饮料,112,3,105,0-104,0-100
旅游区,茶饮品,79,52,73,52-73,46-61
科教区,调味副食,157,12,93,10-89,1-51
医院区,槟榔,34,10,33,0-33,0-32
科教区,文具用品,74,5,59,0-58,0-40
住宅区,茶饮品,86,4,84,0-84,0-80
工业区,保鲜鲜食,35,1,27,0-27,0-16
市场区,调味副食,229,6,196,0-192,0-139
市场区,烘焙糕点,104,8,90,0-87,0-68
工业区,针织品及鞋类,149,1,97,0-93,0-56
工业区,膨化食品,89,4,89,0-88,0-77
工业区,碳酸饮料,104,10,80,0-80,0-76
其他,生活用纸,58,2,38,0-37,0-33
市场区,家庭护理,111,2,93,0-92,0-62
交通枢纽,熟食&饮品,83,1,65,0-65,0-27
科教区,碳酸饮料,99,2,64,2-64,1-56
文教区,水,54,11,46,0-46,0-44
娱乐区,家庭护理,111,1,85,0-80,0-57
办公区,母婴产品,14,1,8,0-7,0-3
医院区,保鲜鲜食,35,1,18,0-16,0-10
住宅区,保鲜鲜食,35,1,32,0-32,0-23
娱乐区,文具用品,110,1,68,0-61,0-33
